Intervalo,Nombre_Estacion,Demanda_Real,Demanda_Predicha
1:45,AV. Chile,0.0,21.074144
1:45,CAN,0.0,20.717161
1:45,Campín - UAN,2.0,125.88239
1:45,San Diego,0.0,17.877996
1:45,Granja - Kr 77,0.0,20.012728
1:45,Ricaurte - NQS,0.0,20.925058
1:45,Quirigua,0.0,1.8356805
1:45,Suba - Calle 100,0.0,0.60002136
1:45,Calle 75 - Zona M,0.0,1.8370323
1:45,AV. Boyacá,0.0,0.6814499
1:45,Calle 40 Sur,0.0,20.75076
1:45,AV. Américas - AV. Boyacá,0.0,1.8369136
1:45,Marsella,0.0,0.5834079
1:45,Niza - Calle 127,0.0,1.8373513
1:45,La Campiña,0.0,0.6761384
1:45,Transversal 86,0.0,0.6381235
1:45,Corferias,0.0,61.76011
1:45,Guatoque - Veraguas,0.0,0.64393187
1:45,CDS - Carrera 32,0.0,20.802134
1:45,Ciudad Universitaria - Lotería de Bogotá,0.0,0.57380295
1:45,Universidad Nacional,0.0,0.6154113
1:45,Avenida Rojas - UNISALESIANA,0.0,61.759876
1:45,Tercer Milenio,0.0,0.6087146
1:45,Concejo de Bogotá,0.0,0.6542902
1:45,NQS - Calle 38A S,0.0,0.6797199
1:45,7 de Agosto,0.0,1.8366475
1:45,AV. 68,0.0,20.286491
1:45,Distrito Grafiti,0.0,1.8360534
1:45,Polo - FINCOMERCIO,0.0,0.60024595
1:45,Tygua - San José,0.0,0.63159037
1:45,Quinta Paredes,0.0,0.62220955
1:45,Salitre - El Greco,0.0,61.760105
1:45,Zona Industrial,0.0,19.904932
1:45,León XIII,0.0,0.8066387
1:45,Paloquemao,0.0,0.7251849
1:45,Carrera 90,0.0,0.68245983
1:45,Gobernación,0.0,0.5588412
1:45,Terreros - Hospital Cardio Vascular,0.0,0.6291537
1:45,Escuela Militar,0.0,0.68541527
1:45,Mandalay,0.0,0.6790042
1:45,AV. Cali,0.0,0.6662507
1:45,Suba - TV. 91,0.0,0.5574508
1:45,Ricaurte - CL 13,0.0,0.58235216
1:45,Restrepo,0.0,0.6053276
1:45,Prado,0.0,0.62969255
1:45,Terminal,0.0,1.8387127
1:45,Virrey,0.0,0.59552574
1:45,Toberin - Foundever,0.0,0.6097412
1:45,Pepe Sierra,0.0,0.6122303
1:45,Calle 100 - Marketmedios,0.0,0.6708169
1:45,Calle 142,0.0,1.8384533
1:45,Portal Norte – Unicervantes,0.0,0.53917456
1:45,Calle 187,0.0,0.7251849
1:45,Alcalá – Colegio S. Tomás Dominicos,0.0,0.6728625
1:45,Calle 146,0.0,0.6301961
1:45,Calle 127,0.0,0.5797925
1:45,Héroes,0.0,20.137466
1:45,Calle 161,0.0,0.62380075
1:45,Calle 106 - Maletas Explora,0.0,0.5409007
1:45,Mazurén,0.0,0.68098927
1:45,Calle 45 - American School Way,0.0,0.65500927
1:45,Carrera 53,0.0,0.7251849
1:45,La Castellana,0.0,0.641181
1:45,AV. 1 Mayo,0.0,0.69478273
1:45,De La Sabana,0.0,0.67670393
1:45,La Despensa,0.0,0.69359493
1:45,Calle 72,0.0,0.66446733
1:45,Centro Memoria,0.0,0.6313114
1:45,Carrera 43 - Comapan,0.0,61.76012
1:45,Consuelo,0.0,0.6312604
1:45,AV. Jiménez - Caracas,0.0,0.65836906
1:45,Comuneros,0.0,0.6562228
1:45,El Tiempo – Cámara de Comercio de Bogotá,0.0,61.760117
1:45,Biblioteca Tintal,0.0,0.6169071
1:45,Ciudad Jardín - UAN,0.0,0.6391735
1:45,Bicentenario,0.0,0.68550014
1:45,Temporal Calle 57,0.0,20.56393
1:45,Biblioteca,0.0,0.5820894
1:45,AV. ElDorado,0.0,61.760117
1:45,Calle 26,0.0,61.760113
1:45,Alquería,0.0,0.60842943
1:45,Bosa,0.0,0.71875095
1:45,CAD,0.0,61.76012
1:45,Banderas,0.0,61.76012
1:45,Calle 19,0.0,61.76012
1:45,AV. Jiménez - CL 13,0.0,61.760117
1:45,Movistar Arena,163.0,76.64798
1:45,AV. 39,0.0,61.76012
1:45,Calle 76 - San Felipe,0.0,0.6226711
1:45,Calle 63,0.0,61.760113
1:45,Calle 85,0.0,61.760067
1:45,NQS - Calle 30 S,0.0,61.760113
1:45,Country Sur,0.0,0.6090317
1:45,Carrera 47,0.0,61.760117
1:45,Portal 80,0.0,0.52417374
1:45,Olaya,0.0,0.6421523
1:45,Molinos,0.0,0.61472607
1:45,Nariño,0.0,0.6234703
1:45,Gratamira,0.0,0.6036825
1:45,Pradera - Plaza Central,0.0,1.8363681
1:45,Las Nieves,0.0,0.6240635
1:45,Modelia,0.0,0.62961674
1:45,Portal El Dorado – C.C. Nuestro Bogotá,0.0,0.5935736
1:45,Flores – Areandina,0.0,0.598403
1:45,Museo del Oro,0.0,0.5879154
1:45,General Santander,0.0,0.5148988
1:45,Portal 20 de Julio,0.0,0.5508404
1:45,Humedal Córdoba,0.0,0.6126709
1:45,Parque,0.0,0.55329514
1:45,Policarpa,0.0,0.66121435
1:45,Museo Nacional,0.0,0.6442294
1:45,Hospital,0.0,0.57216644
1:45,Normandía,0.0,61.759865
1:45,Perdomo,0.0,0.57971287
1:45,Hortúa,0.0,0.63515663
1:45,Portal Usme,0.0,0.60721207
1:45,Ferias,0.0,1.8369789
1:45,Temporal Marly,0.0,1.8363318
1:45,Patio Bonito,0.0,0.55738544
1:45,Portal Tunal,0.0,0.56949997
1:45,Fucha,0.0,0.49753952
1:45,Minuto de Dios,0.0,0.5863018
1:45,Portal Américas,0.0,0.604486
1:45,Las Aguas - Centro Colombo Americano,0.0,0.5899787
1:45,Portal Suba,0.0,0.66472864
1:45,Suba - AV. Boyacá,0.0,0.57750607
1:45,Santa Lucía,0.0,0.63075495
1:45,San Martín,0.0,0.59960747
1:45,Universidades – CityU,0.0,0.62420225
1:45,Santa Isabel,0.0,0.71024513
1:45,Suba - Calle 95,0.0,0.69208336
1:45,Puente Aranda,0.0,0.6442776
1:45,Quiroga,0.0,0.67282104
1:45,Puentelargo,0.0,0.6260891
1:45,San Victorino,0.0,0.61450577
1:45,CC Paseo Villa del Río - Madelena,0.0,0.6447568
1:45,San Mateo - CC Unisur,0.0,0.65124416
1:45,Sevillana,0.0,0.6825566
1:45,Rionegro,0.0,0.6839814
1:45,Suba - Calle 116,0.0,0.6250138
1:45,San Bernardo,0.0,0.6844859
1:45,SENA,0.0,0.70652723
1:45,San Facon Carrera 22,0.0,0.7251849
1:45,Socorro,0.0,0.7024498
1:45,21 Ángeles,0.0,0.7088847
1:45,Temporal Calle 34,0.0,0.55378675
1:45,Venecia,0.0,0.6088371
1:45,Danubio,0.0,21.467495
1:45,Portal Sur - JFK Coop. Financiera,0.0,0.64842653
1:45,Temporal Calle 22,0.0,0.62208605
2:00,AV. Chile,0.0,5.4434757
2:00,CAN,0.0,5.5644393
2:00,Campín - UAN,58.0,60.864124
2:00,San Diego,0.0,5.943092
2:00,Granja - Kr 77,0.0,5.842654
2:00,Ricaurte - NQS,0.0,5.4987984
2:00,Quirigua,0.0,0.7251849
2:00,Suba - Calle 100,0.0,0.7251849
2:00,Calle 75 - Zona M,0.0,0.7251849
2:00,AV. Boyacá,0.0,0.7251849
2:00,Calle 40 Sur,0.0,5.5793815
2:00,AV. Américas - AV. Boyacá,0.0,0.7251849
2:00,Marsella,0.0,0.7251849
2:00,Niza - Calle 127,0.0,0.7251849
